field,unit,availability,definition
peak_gpu_bytes,bytes,integer-or-NA,"Maximum device-wide CUDA total_bytes-free_bytes observed at explicit stage boundaries, not an allocation-exact or process-attributable peak. Party samples after GPU-pool initialization, every Ring-LPN expansion, AES-context release, and commit; checker samples after pool initialization, dealer baseline, online consumer, and frees. NA if any cudaMemGetInfo sample fails or no sample succeeds."
min_gpu_free_bytes,bytes,integer-or-NA,"Minimum device-wide free bytes from the same cudaMemGetInfo boundary samples used for peak_gpu_bytes; NA under the same conditions."
transport_straight_bytes_sent,bytes,integer-or-NA,"Local SCI straight-stream NetIO send counter snapshotted after commit. Includes preflight, base-OT setup, application protocol, and commit and excludes TCP/IP framing; instrumentation adds no metrics message."
transport_straight_bytes_received,bytes,integer-or-NA,"In publication result CSVs, the peer's post-exit straight-stream sent snapshot, hence bytes this process received on the SCI straight stream, with the same scope as transport_straight_bytes_sent. A live party row emits NA because it cannot read peer state."
transport_reversed_bytes_sent,bytes,integer-or-NA,"Local SCI reversed-stream NetIO send counter snapshotted after commit, with the same inclusion/exclusion scope as transport_straight_bytes_sent."
transport_reversed_bytes_received,bytes,integer-or-NA,"In publication result CSVs, the peer's post-exit reversed-stream sent snapshot, hence bytes this process received on the SCI reversed stream, with the same scope as transport_straight_bytes_sent. A live party row emits NA because it cannot read peer state."
base_ots,count,integer-or-NA,"Actual PartyChannel Naor-Pinkas base-OT counter for sci-iknp; the current successful SCI setup records 256 base OTs, one 128-OT batch per direction. NA for emp-silent because its backend does not expose a non-overlapping base-OT count."
base_ot_setup_bytes_sent,bytes,integer-or-NA,"For sci-iknp, checked sum of local straight and reversed NetIO sent-byte deltas measured only inside setup_ots. NA for emp-silent because its setup_ots delta contains SilentFerret correlation traffic reported separately and cannot be labelled base-OT-only without double counting."
base_ot_setup_bytes_received,bytes,integer-or-NA,"In publication result CSVs for sci-iknp, the peer's checked base_ot_setup_bytes_sent value, hence bytes locally received during base-OT setup. A live party row and every emp-silent row emit NA."
transport_bytes_include_base_ot,boolean,yes-or-NA,"yes for sci-iknp when local transport snapshots are available and include its explicitly measured base-OT setup. NA for emp-silent because the backend does not expose non-overlapping base-OT-only traffic. Post-exit publication aggregators reconstruct SCI receive fields from peer sent snapshots."
protocol_bytes_sent,bytes,nonnegative,"Legacy application send counter from after OT setup through commit, retained unchanged and therefore excluding preflight and base-OT setup."
protocol_direction_switches,count,nonnegative,"Legacy sum of SCI NetIO send/receive direction transitions from after OT setup through commit; not a dependency-round or network-packet count."
critical_path_{stage}_us,microseconds,nonnegative-or-NA,"Model-scale summary field pattern: per trial max(p0_stage_us,p1_stage_us) for each named party stage, followed by the reported sample statistics; a trial is omitted for that metric if either party value is NA."
minimum_observed_gpu_free_bytes,bytes,integer-or-NA,"Model-scale summary per-trial minimum of the two party min_gpu_free_bytes values; a trial is omitted for this metric if either party value is NA."
transport_bytes_total_including_base_ot,bytes,integer-or-NA,"Model-scale summary per-trial sum of p0/p1 straight/reversed sent-byte snapshots. Each wire payload is counted once and base-OT bytes are included; a trial is omitted if any source value is NA."
base_ot_setup_bytes_total,bytes,integer-or-NA,"Model-scale summary per-trial sum of both parties' base_ot_setup_bytes_sent values, counting each wire payload once; a trial is omitted if either value is NA."
invocation_id,hex,32-lowercase-hex,"Public 128-bit high-entropy base invocation ID. Both parties and the checker must emit the same value; a persistent consume-once ledger rejects every duplicate/retry/restart before OT or CSPRNG state is consumed."
ledger_digest,hex,64-lowercase-hex,"SHA-256 digest of the immutable canonical consume claim binding invocation_id, party-independent layer identity, and exact correlation plan. The two party records and checker must agree; the private append-only ledger itself is never public evidence."
ot_backend,text,sci-iknp|emp-silent-or-NA,"Selected OT backend for this process. sci-iknp is the existing SCI SplitIKNP path; emp-silent is the pinned EMP SilentFerret bridge. NA means backend selection did not complete."
ot_backend_revision,text,text-or-NA,"Exact backend provenance emitted by the selected implementation: the pinned SCI revision/name or the exact lowercase 40-hex EMP commit. It is not a security-review claim."
ot_correlation_straight_bytes_sent,bytes,integer-or-NA,"Checked local straight-stream backend send-counter delta around silent correlation generation. Includes backend wire framing and excludes the fixed launcher/control channel. NA for a backend that cannot expose this boundary."
ot_correlation_straight_bytes_received,bytes,integer-or-NA,"In publication result CSVs, the peer's ot_correlation_straight_bytes_sent value, hence locally received straight-stream silent-correlation bytes. A live party row emits NA."
ot_correlation_reversed_bytes_sent,bytes,integer-or-NA,"Checked local reversed-stream backend send-counter delta around silent correlation generation, with the same boundary as ot_correlation_straight_bytes_sent."
ot_correlation_reversed_bytes_received,bytes,integer-or-NA,"In publication result CSVs, the peer's ot_correlation_reversed_bytes_sent value, hence locally received reversed-stream silent-correlation bytes. A live party row emits NA."
ot_adjustment_bytes_sent,bytes,integer-or-NA,"Checked encoded payload bytes locally sent for packed selected-OT adjustment messages after correlation generation; excludes ciphertext payloads and backend correlation traffic."
ot_adjustment_bytes_received,bytes,integer-or-NA,"In publication result CSVs, the peer's ot_adjustment_bytes_sent value, hence packed selected-OT adjustment payload bytes locally received. A live party row emits NA."
ot_ciphertext_bytes_sent,bytes,integer-or-NA,"Checked encoded payload bytes locally sent for packed selected-OT ciphertext messages; excludes adjustment payloads and backend correlation traffic."
ot_ciphertext_bytes_received,bytes,integer-or-NA,"In publication result CSVs, the peer's ot_ciphertext_bytes_sent value, hence packed selected-OT ciphertext payload bytes locally received. A live party row emits NA."
ot_inventory_straight_declared,128-bit-OT-entries,integer-or-NA,"Number of 128-bit straight-direction silent-OT inventory entries made available to the application by the backend for this invocation."
ot_inventory_straight_consumed,128-bit-OT-entries,integer-or-NA,"Number of declared straight-direction 128-bit silent-OT inventory entries actually consumed; must not exceed ot_inventory_straight_declared."
ot_inventory_reversed_declared,128-bit-OT-entries,integer-or-NA,"Number of 128-bit reversed-direction silent-OT inventory entries made available to the application by the backend for this invocation."
ot_inventory_reversed_consumed,128-bit-OT-entries,integer-or-NA,"Number of declared reversed-direction 128-bit silent-OT inventory entries actually consumed; must not exceed ot_inventory_reversed_declared."
ot_backend_review_status,text,text-or-NA,"Review/measurement gate label for the selected backend revision. unreviewed-unmeasured explicitly prohibits treating an emp-silent row as publication evidence; NA means no status was established."
NA,text,NA,"Literal unavailable sentinel. A stage not observed or a failed syscall/CUDA/counter-range check is emitted as NA, never numeric zero."
